code point,glyph name
1A20,taitham-HighKa
1A21,taitham-HighKha
1A22,taitham-HighKxa
1A23,taitham-LowKa
1A24,taitham-LowKxa
1A25,taitham-LowKha
1A26,taitham-Nga
1A27,taitham-HighCa
1A28,taitham-HighCha
1A29,taitham-LowCa
1A2A,taitham-LowSa
1A2B,taitham-LowCha
1A2C,taitham-Nya
1A2D,taitham-Rata
1A2E,taitham-HighRatha
1A2F,taitham-Da
1A30,taitham-LowRatha
1A31,taitham-Rana
1A32,taitham-HighTa
1A33,taitham-HighTha
1A34,taitham-LowTa
1A35,taitham-LowTha
1A36,taitham-Na
1A37,taitham-Ba
1A38,taitham-HighPa
1A39,taitham-HighPha
1A3A,taitham-HighFa
1A3B,taitham-LowPa
1A3C,taitham-LowFa
1A3D,taitham-LowPha
1A3E,taitham-Ma
1A3F,taitham-LowYa
1A40,taitham-HighYa
1A41,taitham-Ra
1A42,taitham-Rue
1A43,taitham-La
1A44,taitham-Lue
1A45,taitham-Wa
1A46,taitham-HighSha
1A47,taitham-HighSsa
1A48,taitham-HighSa
1A49,taitham-HighHa
1A4A,taitham-Lla
1A4B,taitham-A
1A4C,taitham-LowHa
1A4D,taitham-I
1A4E,taitham-Ii
1A4F,taitham-U
1A50,taitham-Uu
1A51,taitham-Ee
1A52,taitham-Oo
1A53,taitham-Lae
1A54,taitham-GreatSa
1A55,taitham-SignMedialRa
1A56,taitham-SignMedialLa
1A57,taitham-SignLaTangLai
1A58,taitham-SignMaiKangLai
1A59,taitham-SignFinalNga
1A5A,taitham-SignLowPa
1A5B,taitham-SignHighRathaOrLowPa
1A5C,taitham-SignMa
1A5D,taitham-SignBa
1A5E,taitham-SignSa
1A60,taitham-SignSakot
1A61,taitham-SignA
1A62,taitham-SignMaiSat
1A63,taitham-SignAa
1A64,taitham-SignTallAa
1A65,taitham-SignI
1A66,taitham-SignIi
1A67,taitham-SignUe
1A68,taitham-SignUue
1A69,taitham-SignU
1A6A,taitham-SignUu
1A6B,taitham-SignO
1A6C,taitham-SignOaBelow
1A6D,taitham-SignOy
1A6E,taitham-SignE
1A6F,taitham-SignAe
1A70,taitham-SignOo
1A71,taitham-SignAi
1A72,taitham-SignThamAi
1A73,taitham-SignOaAbove
1A74,taitham-SignMaiKang
1A75,taitham-SignTone-1
1A76,taitham-SignTone-2
1A77,taitham-SignKhuenTone-3
1A78,taitham-SignKhuenTone-4
1A79,taitham-SignKhuenTone-5
1A7A,taitham-SignRaHaam
1A7B,taitham-SignMaiSam
1A7C,taitham-SignKhuen-LueKaran
1A7F,taitham-CombiningCryptogrammicDot
1A80,taitham-HoraZero
1A81,taitham-HoraOne
1A82,taitham-HoraTwo
1A83,taitham-HoraThree
1A84,taitham-HoraFour
1A85,taitham-HoraFive
1A86,taitham-HoraSix
1A87,taitham-HoraSeven
1A88,taitham-HoraEight
1A89,taitham-HoraNine
1A90,taitham-ThamZero
1A91,taitham-ThamOne
1A92,taitham-ThamTwo
1A93,taitham-ThamThree
1A94,taitham-ThamFour
1A95,taitham-ThamFive
1A96,taitham-ThamSix
1A97,taitham-ThamSeven
1A98,taitham-ThamEight
1A99,taitham-ThamNine
1AA0,taitham-SignWiang
1AA1,taitham-SignWiangwaak
1AA2,taitham-SignSawan
1AA3,taitham-SignKeow
1AA4,taitham-SignHoy
1AA5,taitham-SignDokmai
1AA6,taitham-SignReversedRotatedRana
1AA7,taitham-SignMaiYamok
1AA8,taitham-SignKaan
1AA9,taitham-SignKaankuu
1AAA,taitham-SignSatkaan
1AAB,taitham-SignSatkaankuu
1AAC,taitham-SignHang
1AAD,taitham-SignCaang
